,Comments_youtube,Comments_CaseFolding,CharEmoNum_Remove,RemoveDoubleWord,tokenizing,Comments_stopwordfix,Stemming2
313,"Bunuh guru, terror warga, ya jelas di sebut teroris yakali kalian mau di sebut ormas","bunuh guru, terror warga, ya jelas di sebut teroris yakali kalian mau di sebut ormas",bunuh guru terror warga ya jelas di sebut teroris yakali kalian mau di sebut ormas,bunuh guru terror warga ya jelas di sebut teroris yakali kalian mau ormas,"['bunuh', 'guru', 'terror', 'warga', 'ya', 'jelas', 'di', 'sebut', 'teroris', 'yakali', 'kalian', 'mau', 'ormas']","['bunuh', 'guru', 'terror', 'warga', 'ya', 'teroris', 'yakali', 'ormas']","['bunuh', 'guru', 'terror', 'warga', 'ya', 'teroris', 'yakali', 'ormas']"
314,"Bahkan, KKB pun gak mau disebut teroris.","bahkan, kkb pun gak mau disebut teroris.",bahkan kkb pun gak mau disebut teroris,bahkan kkb pun gak mau disebut teroris,"['bahkan', 'kkb', 'pun', 'gak', 'mau', 'disebut', 'teroris']","['kkb', 'gak', 'teroris']","['kkb', 'gak', 'teroris']"
315,"Bicara mau menantang TNI-POLRI, serta di Tantang lngsung teriak ham aneh sekali padahal mereka juga bersenjata... Bravo TNI-POLRI ","bicara mau menantang tni-polri, serta di tantang lngsung teriak ham aneh sekali padahal mereka juga bersenjata... bravo tni-polri ",bicara mau menantang tnipolri serta di tantang lngsung teriak ham aneh sekali padahal mereka juga bersenjata bravo tnipolri ,bicara mau menantang tnipolri serta di tantang lngsung teriak ham aneh sekali padahal mereka juga bersenjata bravo,"['bicara', 'mau', 'menantang', 'tnipolri', 'serta', 'di', 'tantang', 'lngsung', 'teriak', 'ham', 'aneh', 'sekali', 'padahal', 'mereka', 'juga', 'bersenjata', 'bravo']","['bicara', 'menantang', 'tnipolri', 'tantang', 'lngsung', 'teriak', 'ham', 'aneh', 'bersenjata', 'bravo']","['bicara', 'tantang', 'tnipolri', 'tantang', 'lngsung', 'teriak', 'ham', 'aneh', 'senjata', 'bravo']"
316,negara punya bnyk inteljen.klu ada indikasi apapun yg bakal bikin ruwet jangan kasih kesemptan agar tidak bisa berkembang seperti kkb dll yg ada di merah putih tercinta ini.,negara punya bnyk inteljen.klu ada indikasi apapun yg bakal bikin ruwet jangan kasih kesemptan agar tidak bisa berkembang seperti kkb dll yg ada di merah putih tercinta ini.,negara punya bnyk inteljenklu ada indikasi apapun yg bakal bikin ruwet jangan kasih kesemptan agar tidak bisa berkembang seperti kkb dll yg ada di merah putih tercinta ini,negara punya bnyk inteljenklu ada indikasi apapun yg bakal bikin ruwet jangan kasih kesemptan agar tidak bisa berkembang seperti kkb dll di merah putih tercinta ini,"['negara', 'punya', 'bnyk', 'inteljenklu', 'ada', 'indikasi', 'apapun', 'yg', 'bakal', 'bikin', 'ruwet', 'jangan', 'kasih', 'kesemptan', 'agar', 'tidak', 'bisa', 'berkembang', 'seperti', 'kkb', 'dll', 'di', 'merah', 'putih', 'tercinta', 'ini']","['negara', 'bnyk', 'inteljenklu', 'indikasi', 'apapun', 'yg', 'bikin', 'ruwet', 'kasih', 'kesemptan', 'berkembang', 'kkb', 'dll', 'merah', 'putih', 'tercinta']","['negara', 'bnyk', 'inteljenklu', 'indikasi', 'apa', 'yg', 'bikin', 'ruwet', 'kasih', 'kesemptan', 'kembang', 'kkb', 'dll', 'merah', 'putih', 'cinta']"
317,Dari dulu yawes teroris. Wong sudah bunuh TNI POLRI lebih dari 3 kog.,dari dulu yawes teroris. wong sudah bunuh tni polri lebih dari 3 kog.,dari dulu yawes teroris wong sudah bunuh tni polri lebih dari  kog,dari dulu yawes teroris wong sudah bunuh tni polri lebih kog,"['dari', 'dulu', 'yawes', 'teroris', 'wong', 'sudah', 'bunuh', 'tni', 'polri', 'lebih', 'kog']","['yawes', 'teroris', 'bunuh', 'tni', 'polri', 'kog']","['yawes', 'teroris', 'bunuh', 'tni', 'polri', 'kog']"
318,Secara tersirat ini adalah genderang perang NKRI,secara tersirat ini adalah genderang perang nkri,secara tersirat ini adalah genderang perang nkri,secara tersirat ini adalah genderang perang nkri,"['secara', 'tersirat', 'ini', 'adalah', 'genderang', 'perang', 'nkri']","['tersirat', 'genderang', 'perang', 'nkri']","['sirat', 'genderang', 'perang', 'nkri']"
319,"Minta merdeka berarti belum merasa diperlakukan adil, 
Tpi gk perlu membunuh sesama rakyat... Panah aja pejabatÂ²nya yg korupsi 
Karena banyak rakyat yg merasa masih blm diperlakukan adil bukan di papua saja","minta merdeka berarti belum merasa diperlakukan adil, 
tpi gk perlu membunuh sesama rakyat... panah aja pejabatâ²nya yg korupsi 
karena banyak rakyat yg merasa masih blm diperlakukan adil bukan di papua saja","minta merdeka berarti belum merasa diperlakukan adil 
tpi gk perlu membunuh sesama rakyat panah aja pejabatnya yg korupsi 
karena banyak rakyat yg merasa masih blm diperlakukan adil bukan di papua saja",minta merdeka berarti belum merasa diperlakukan adil tpi gk perlu membunuh sesama rakyat panah aja pejabatnya yg korupsi karena banyak masih blm bukan di papua saja,"['minta', 'merdeka', 'berarti', 'belum', 'merasa', 'diperlakukan', 'adil', 'tpi', 'gk', 'perlu', 'membunuh', 'sesama', 'rakyat', 'panah', 'aja', 'pejabatnya', 'yg', 'korupsi', 'karena', 'banyak', 'masih', 'blm', 'bukan', 'di', 'papua', 'saja']","['merdeka', 'diperlakukan', 'adil', 'tpi', 'gk', 'membunuh', 'rakyat', 'panah', 'aja', 'pejabatnya', 'yg', 'korupsi', 'blm', 'papua']","['merdeka', 'laku', 'adil', 'tpi', 'gk', 'bunuh', 'rakyat', 'panah', 'aja', 'jabat', 'yg', 'korupsi', 'blm', 'papua']"
320,"Sdah bertahun2 tdk habis2...tahun ini harus di basmi tuntas tanpa ampun,jgn sampai TNI dan negara kalah dalam hal ini","sdah bertahun2 tdk habis2...tahun ini harus di basmi tuntas tanpa ampun,jgn sampai tni dan negara kalah dalam hal ini",sdah bertahun tdk habistahun ini harus di basmi tuntas tanpa ampunjgn sampai tni dan negara kalah dalam hal ini,sdah bertahun tdk habistahun ini harus di basmi tuntas tanpa ampunjgn sampai tni dan negara kalah dalam hal,"['sdah', 'bertahun', 'tdk', 'habistahun', 'ini', 'harus', 'di', 'basmi', 'tuntas', 'tanpa', 'ampunjgn', 'sampai', 'tni', 'dan', 'negara', 'kalah', 'dalam', 'hal']","['sdah', 'bertahun', 'tdk', 'habistahun', 'basmi', 'tuntas', 'ampunjgn', 'tni', 'negara', 'kalah']","['sdah', 'tahun', 'tdk', 'habistahun', 'basmi', 'tuntas', 'ampunjgn', 'tni', 'negara', 'kalah']"
321,Pembawa acara panggah iki ae to boss,pembawa acara panggah iki ae to boss,pembawa acara panggah iki ae to boss,pembawa acara panggah iki ae to boss,"['pembawa', 'acara', 'panggah', 'iki', 'ae', 'to', 'boss']","['pembawa', 'acara', 'panggah', 'iki', 'ae', 'to', 'boss']","['bawa', 'acara', 'panggah', 'iki', 'ae', 'to', 'boss']"
322,"Ya Allah semoga para prajurit TNI yang bertugas disana tidak ada yang gugur,tapi jika ada yang gugur maka berikan mereka mati syahid amin","ya allah semoga para prajurit tni yang bertugas disana tidak ada yang gugur,tapi jika ada yang gugur maka berikan mereka mati syahid amin",ya allah semoga para prajurit tni yang bertugas disana tidak ada yang gugurtapi jika ada yang gugur maka berikan mereka mati syahid amin,ya allah semoga para prajurit tni yang bertugas disana tidak ada gugurtapi jika gugur maka berikan mereka mati syahid amin,"['ya', 'allah', 'semoga', 'para', 'prajurit', 'tni', 'yang', 'bertugas', 'disana', 'tidak', 'ada', 'gugurtapi', 'jika', 'gugur', 'maka', 'berikan', 'mereka', 'mati', 'syahid', 'amin']","['ya', 'allah', 'semoga', 'prajurit', 'tni', 'bertugas', 'disana', 'gugurtapi', 'gugur', 'mati', 'syahid', 'amin']","['ya', 'allah', 'moga', 'prajurit', 'tni', 'tugas', 'sana', 'gugurtapi', 'gugur', 'mati', 'syahid', 'amin']"
323,Kenapa kau tidak boleh dilabel teroris???? Sikat habis teroris KKB sampe menemui ajal semuanya!!!,kenapa kau tidak boleh dilabel teroris???? sikat habis teroris kkb sampe menemui ajal semuanya!!!,kenapa kau tidak boleh dilabel teroris sikat habis teroris kkb sampe menemui ajal semuanya,kenapa kau tidak boleh dilabel teroris sikat habis kkb sampe menemui ajal semuanya,"['kenapa', 'kau', 'tidak', 'boleh', 'dilabel', 'teroris', 'sikat', 'habis', 'kkb', 'sampe', 'menemui', 'ajal', 'semuanya']","['kau', 'dilabel', 'teroris', 'sikat', 'habis', 'kkb', 'sampe', 'menemui', 'ajal']","['kau', 'label', 'teroris', 'sikat', 'habis', 'kkb', 'sampe', 'temu', 'ajal']"
324,"Jelas murka, krna gk sanggup melawan tni ","jelas murka, krna gk sanggup melawan tni ",jelas murka krna gk sanggup melawan tni ,jelas murka krna gk sanggup melawan tni,"['jelas', 'murka', 'krna', 'gk', 'sanggup', 'melawan', 'tni']","['murka', 'krna', 'gk', 'sanggup', 'melawan', 'tni']","['murka', 'krna', 'gk', 'sanggup', 'lawan', 'tni']"
325,Bawa saja ke pengadilan internasional.. kelompok kriminal akan tetap dicap kriminal dinegara manapun.. justru itu kesempatan kita untuk membawa kasus kekejaman mereka ke dunia agar kita mendapatkan dukungan untuk memberantas tuntas mereka,bawa saja ke pengadilan internasional.. kelompok kriminal akan tetap dicap kriminal dinegara manapun.. justru itu kesempatan kita untuk membawa kasus kekejaman mereka ke dunia agar kita mendapatkan dukungan untuk memberantas tuntas mereka,bawa saja ke pengadilan internasional kelompok kriminal akan tetap dicap kriminal dinegara manapun justru itu kesempatan kita untuk membawa kasus kekejaman mereka ke dunia agar kita mendapatkan dukungan untuk memberantas tuntas mereka,bawa saja ke pengadilan internasional kelompok kriminal akan tetap dicap dinegara manapun justru itu kesempatan kita untuk membawa kasus kekejaman mereka dunia agar mendapatkan dukungan memberantas tuntas,"['bawa', 'saja', 'ke', 'pengadilan', 'internasional', 'kelompok', 'kriminal', 'akan', 'tetap', 'dicap', 'dinegara', 'manapun', 'justru', 'itu', 'kesempatan', 'kita', 'untuk', 'membawa', 'kasus', 'kekejaman', 'mereka', 'dunia', 'agar', 'mendapatkan', 'dukungan', 'memberantas', 'tuntas']","['bawa', 'pengadilan', 'internasional', 'kelompok', 'kriminal', 'dicap', 'dinegara', 'manapun', 'kesempatan', 'membawa', 'kekejaman', 'dunia', 'dukungan', 'memberantas', 'tuntas']","['bawa', 'adil', 'internasional', 'kelompok', 'kriminal', 'cap', 'negara', 'mana', 'sempat', 'bawa', 'kejam', 'dunia', 'dukung', 'berantas', 'tuntas']"
326,"Kasihan, bertahun tahun di mainin sistem, dikeruk hasil bumi nya. Daerah nya dengan kekayaan seperti itu harus nya 4kali lebih cepat pembangunannya dengan pulau Jawa. Sungguh malang Papua ku, pilih bendera NKRI buat maju dan berkembang.","kasihan, bertahun tahun di mainin sistem, dikeruk hasil bumi nya. daerah nya dengan kekayaan seperti itu harus nya 4kali lebih cepat pembangunannya dengan pulau jawa. sungguh malang papua ku, pilih bendera nkri buat maju dan berkembang.",kasihan bertahun tahun di mainin sistem dikeruk hasil bumi nya daerah nya dengan kekayaan seperti itu harus nya kali lebih cepat pembangunannya dengan pulau jawa sungguh malang papua ku pilih bendera nkri buat maju dan berkembang,kasihan bertahun tahun di mainin sistem dikeruk hasil bumi nya daerah dengan kekayaan seperti itu harus kali lebih cepat pembangunannya pulau jawa sungguh malang papua ku pilih bendera nkri buat maju dan berkembang,"['kasihan', 'bertahun', 'tahun', 'di', 'mainin', 'sistem', 'dikeruk', 'hasil', 'bumi', 'nya', 'daerah', 'dengan', 'kekayaan', 'seperti', 'itu', 'harus', 'kali', 'lebih', 'cepat', 'pembangunannya', 'pulau', 'jawa', 'sungguh', 'malang', 'papua', 'ku', 'pilih', 'bendera', 'nkri', 'buat', 'maju', 'dan', 'berkembang']","['kasihan', 'bertahun', 'mainin', 'sistem', 'dikeruk', 'hasil', 'bumi', 'nya', 'daerah', 'kekayaan', 'kali', 'cepat', 'pembangunannya', 'pulau', 'jawa', 'sungguh', 'malang', 'papua', 'ku', 'pilih', 'bendera', 'nkri', 'maju', 'berkembang']","['kasihan', 'tahun', 'mainin', 'sistem', 'keruk', 'hasil', 'bumi', 'nya', 'daerah', 'kaya', 'kali', 'cepat', 'bangun', 'pulau', 'jawa', 'sungguh', 'malang', 'papua', 'ku', 'pilih', 'bendera', 'nkri', 'maju', 'kembang']"
327,"Kalau bikin berita,bikinlah dukungan kepada negara woii","kalau bikin berita,bikinlah dukungan kepada negara woii",kalau bikin beritabikinlah dukungan kepada negara woii,kalau bikin beritabikinlah dukungan kepada negara woii,"['kalau', 'bikin', 'beritabikinlah', 'dukungan', 'kepada', 'negara', 'woii']","['bikin', 'beritabikinlah', 'dukungan', 'negara', 'woii']","['bikin', 'beritabikinlah', 'dukung', 'negara', 'woii']"
328,"Maklum anggota kkb banyak yg gak sekolah maka gak bisa mikir, mau di bodohin orang asing untuk memberontak terhadap NKRI, habisin aja TNI polri.","maklum anggota kkb banyak yg gak sekolah maka gak bisa mikir, mau di bodohin orang asing untuk memberontak terhadap nkri, habisin aja tni polri.",maklum anggota kkb banyak yg gak sekolah maka gak bisa mikir mau di bodohin orang asing untuk memberontak terhadap nkri habisin aja tni polri,maklum anggota kkb banyak yg gak sekolah maka bisa mikir mau di bodohin orang asing untuk memberontak terhadap nkri habisin aja tni polri,"['maklum', 'anggota', 'kkb', 'banyak', 'yg', 'gak', 'sekolah', 'maka', 'bisa', 'mikir', 'mau', 'di', 'bodohin', 'orang', 'asing', 'untuk', 'memberontak', 'terhadap', 'nkri', 'habisin', 'aja', 'tni', 'polri']","['maklum', 'anggota', 'kkb', 'yg', 'gak', 'sekolah', 'mikir', 'bodohin', 'orang', 'asing', 'memberontak', 'nkri', 'habisin', 'aja', 'tni', 'polri']","['maklum', 'anggota', 'kkb', 'yg', 'gak', 'sekolah', 'mikir', 'bodohin', 'orang', 'asing', 'berontak', 'nkri', 'habisin', 'aja', 'tni', 'polri']"
329,Negara baru melek,negara baru melek,negara baru melek,negara baru melek,"['negara', 'baru', 'melek']","['negara', 'melek']","['negara', 'melek']"
330,Tidak ada kompromi tumpas habis sampai ke akar2nya..NKRI harga mati ,tidak ada kompromi tumpas habis sampai ke akar2nya..nkri harga mati ,tidak ada kompromi tumpas habis sampai ke akarnyankri harga mati ,tidak ada kompromi tumpas habis sampai ke akarnyankri harga mati,"['tidak', 'ada', 'kompromi', 'tumpas', 'habis', 'sampai', 'ke', 'akarnyankri', 'harga', 'mati']","['kompromi', 'tumpas', 'habis', 'akarnyankri', 'harga', 'mati']","['kompromi', 'tumpas', 'habis', 'akarnyankri', 'harga', 'mati']"
331,"Tangkap parakoruptor ,,biar selesai semua masalah,,Kasih mati aja..Heran gua sama hukum di negeri ini","tangkap parakoruptor ,,biar selesai semua masalah,,kasih mati aja..heran gua sama hukum di negeri ini",tangkap parakoruptor biar selesai semua masalahkasih mati ajaheran gua sama hukum di negeri ini,tangkap parakoruptor biar selesai semua masalahkasih mati ajaheran gua sama hukum di negeri ini,"['tangkap', 'parakoruptor', 'biar', 'selesai', 'semua', 'masalahkasih', 'mati', 'ajaheran', 'gua', 'sama', 'hukum', 'di', 'negeri', 'ini']","['tangkap', 'parakoruptor', 'biar', 'selesai', 'masalahkasih', 'mati', 'ajaheran', 'gua', 'hukum', 'negeri']","['tangkap', 'parakoruptor', 'biar', 'selesai', 'masalahkasih', 'mati', 'ajaheran', 'gua', 'hukum', 'negeri']"
332,sudah cukup sabar .... .... babat habis . dan selidiki siapa penyokong di balik semuaaa ini ......,sudah cukup sabar .... .... babat habis . dan selidiki siapa penyokong di balik semuaaa ini ......,sudah cukup sabar   babat habis  dan selidiki siapa penyokong di balik semuaaa ini ,sudah cukup sabar babat habis dan selidiki siapa penyokong di balik semuaaa ini,"['sudah', 'cukup', 'sabar', 'babat', 'habis', 'dan', 'selidiki', 'siapa', 'penyokong', 'di', 'balik', 'semuaaa', 'ini']","['sabar', 'babat', 'habis', 'selidiki', 'penyokong', 'semuaaa']","['sabar', 'babat', 'habis', 'selidik', 'sokong', 'semuaaa']"
333,"tunggulah kami di hutan2 kalian wahai teroris, kalian telah berbuat biadab terhadap masyarakat sipil, guru2, dan para pekerja2 tak berdosa","tunggulah kami di hutan2 kalian wahai teroris, kalian telah berbuat biadab terhadap masyarakat sipil, guru2, dan para pekerja2 tak berdosa",tunggulah kami di hutan kalian wahai teroris kalian telah berbuat biadab terhadap masyarakat sipil guru dan para pekerja tak berdosa,tunggulah kami di hutan kalian wahai teroris telah berbuat biadab terhadap masyarakat sipil guru dan para pekerja tak berdosa,"['tunggulah', 'kami', 'di', 'hutan', 'kalian', 'wahai', 'teroris', 'telah', 'berbuat', 'biadab', 'terhadap', 'masyarakat', 'sipil', 'guru', 'dan', 'para', 'pekerja', 'tak', 'berdosa']","['tunggulah', 'hutan', 'teroris', 'berbuat', 'biadab', 'masyarakat', 'sipil', 'guru', 'pekerja', 'berdosa']","['tunggu', 'hutan', 'teroris', 'buat', 'biadab', 'masyarakat', 'sipil', 'guru', 'kerja', 'dosa']"
334,Mau melaporkan diri sendiri ya?  Tol0l,mau melaporkan diri sendiri ya?  tol0l,mau melaporkan diri sendiri ya  toll,mau melaporkan diri sendiri ya toll,"['mau', 'melaporkan', 'diri', 'sendiri', 'ya', 'toll']","['melaporkan', 'ya', 'toll']","['lapor', 'ya', 'toll']"
335,Pembrontak atau apapun namanya yang mengganggu keamanan maupun yang merugikan negara yaa harus ditumpaslah.,pembrontak atau apapun namanya yang mengganggu keamanan maupun yang merugikan negara yaa harus ditumpaslah.,pembrontak atau apapun namanya yang mengganggu keamanan maupun yang merugikan negara yaa harus ditumpaslah,pembrontak atau apapun namanya yang mengganggu keamanan maupun merugikan negara yaa harus ditumpaslah,"['pembrontak', 'atau', 'apapun', 'namanya', 'yang', 'mengganggu', 'keamanan', 'maupun', 'merugikan', 'negara', 'yaa', 'harus', 'ditumpaslah']","['pembrontak', 'apapun', 'namanya', 'mengganggu', 'keamanan', 'merugikan', 'negara', 'yaa', 'ditumpaslah']","['pembrontak', 'apa', 'nama', 'ganggu', 'aman', 'rugi', 'negara', 'yaa', 'tumpas']"
336,"Sudah saatnya melepaskan mereka untuk merdeka...
Apakah masih belum puas mengeruk kekayaan alam bumi Papua..
Bagi wilayah jadi dua pro Indonesia dan pro OPM, Papua barat dan Papua timur itu aja kok repot jadi tidak ada pertumpahan darah..","sudah saatnya melepaskan mereka untuk merdeka...
apakah masih belum puas mengeruk kekayaan alam bumi papua..
bagi wilayah jadi dua pro indonesia dan pro opm, papua barat dan papua timur itu aja kok repot jadi tidak ada pertumpahan darah..","sudah saatnya melepaskan mereka untuk merdeka
apakah masih belum puas mengeruk kekayaan alam bumi papua
bagi wilayah jadi dua pro indonesia dan pro opm papua barat dan papua timur itu aja kok repot jadi tidak ada pertumpahan darah",sudah saatnya melepaskan mereka untuk merdeka apakah masih belum puas mengeruk kekayaan alam bumi papua bagi wilayah jadi dua pro indonesia dan opm barat timur itu aja kok repot tidak ada pertumpahan darah,"['sudah', 'saatnya', 'melepaskan', 'mereka', 'untuk', 'merdeka', 'apakah', 'masih', 'belum', 'puas', 'mengeruk', 'kekayaan', 'alam', 'bumi', 'papua', 'bagi', 'wilayah', 'jadi', 'dua', 'pro', 'indonesia', 'dan', 'opm', 'barat', 'timur', 'itu', 'aja', 'kok', 'repot', 'tidak', 'ada', 'pertumpahan', 'darah']","['melepaskan', 'merdeka', 'puas', 'mengeruk', 'kekayaan', 'alam', 'bumi', 'papua', 'wilayah', 'pro', 'indonesia', 'opm', 'barat', 'timur', 'aja', 'repot', 'pertumpahan', 'darah']","['lepas', 'merdeka', 'puas', 'keruk', 'kaya', 'alam', 'bumi', 'papua', 'wilayah', 'pro', 'indonesia', 'opm', 'barat', 'timur', 'aja', 'repot', 'tumpah', 'darah']"
337,"Klo di biarkan lama - lama KKB makin berani, benar apa kada pemerintah KKB adalah teroris yg perlu di bumi hanguskan..","klo di biarkan lama - lama kkb makin berani, benar apa kada pemerintah kkb adalah teroris yg perlu di bumi hanguskan..",klo di biarkan lama  lama kkb makin berani benar apa kada pemerintah kkb adalah teroris yg perlu di bumi hanguskan,klo di biarkan lama kkb makin berani benar apa kada pemerintah adalah teroris yg perlu bumi hanguskan,"['klo', 'di', 'biarkan', 'lama', 'kkb', 'makin', 'berani', 'benar', 'apa', 'kada', 'pemerintah', 'adalah', 'teroris', 'yg', 'perlu', 'bumi', 'hanguskan']","['klo', 'biarkan', 'kkb', 'berani', 'kada', 'pemerintah', 'teroris', 'yg', 'bumi', 'hanguskan']","['klo', 'biar', 'kkb', 'berani', 'kada', 'perintah', 'teroris', 'yg', 'bumi', 'hangus']"
338,"Jelas2 mereka teroris masih juga cari alasan ke pengadilan internasional,gk bisa negara liar memcampurin masalah keamanan dalam negeri ini,hancurkan jgn kasi ampun,jelas mereka teroris bukan KKB yg selama ini mereka gaungkan.bravo TNI","jelas2 mereka teroris masih juga cari alasan ke pengadilan internasional,gk bisa negara liar memcampurin masalah keamanan dalam negeri ini,hancurkan jgn kasi ampun,jelas mereka teroris bukan kkb yg selama ini mereka gaungkan.bravo tni",jelas mereka teroris masih juga cari alasan ke pengadilan internasionalgk bisa negara liar memcampurin masalah keamanan dalam negeri inihancurkan jgn kasi ampunjelas mereka teroris bukan kkb yg selama ini mereka gaungkanbravo tni,jelas mereka teroris masih juga cari alasan ke pengadilan internasionalgk bisa negara liar memcampurin masalah keamanan dalam negeri inihancurkan jgn kasi ampunjelas bukan kkb yg selama ini gaungkanbravo tni,"['jelas', 'mereka', 'teroris', 'masih', 'juga', 'cari', 'alasan', 'ke', 'pengadilan', 'internasionalgk', 'bisa', 'negara', 'liar', 'memcampurin', 'masalah', 'keamanan', 'dalam', 'negeri', 'inihancurkan', 'jgn', 'kasi', 'ampunjelas', 'bukan', 'kkb', 'yg', 'selama', 'ini', 'gaungkanbravo', 'tni']","['teroris', 'cari', 'alasan', 'pengadilan', 'internasionalgk', 'negara', 'liar', 'memcampurin', 'keamanan', 'negeri', 'inihancurkan', 'jgn', 'kasi', 'ampunjelas', 'kkb', 'yg', 'gaungkanbravo', 'tni']","['teroris', 'cari', 'alas', 'adil', 'internasionalgk', 'negara', 'liar', 'memcampurin', 'aman', 'negeri', 'inihancurkan', 'jgn', 'kasi', 'ampunjelas', 'kkb', 'yg', 'gaungkanbravo', 'tni']"
339,Ajak ketemuam tipu setelah itu BUNUH PAKE GAS BERACUN,ajak ketemuam tipu setelah itu bunuh pake gas beracun,ajak ketemuam tipu setelah itu bunuh pake gas beracun,ajak ketemuam tipu setelah itu bunuh pake gas beracun,"['ajak', 'ketemuam', 'tipu', 'setelah', 'itu', 'bunuh', 'pake', 'gas', 'beracun']","['ajak', 'ketemuam', 'tipu', 'bunuh', 'pake', 'gas', 'beracun']","['ajak', 'tuam', 'tipu', 'bunuh', 'pake', 'gas', 'racun']"
340,Brondong abis sampai ke akar-akarnya. Jgn sampai ada yg tersisa.,brondong abis sampai ke akar-akarnya. jgn sampai ada yg tersisa.,brondong abis sampai ke akarakarnya jgn sampai ada yg tersisa,brondong abis sampai ke akarakarnya jgn ada yg tersisa,"['brondong', 'abis', 'sampai', 'ke', 'akarakarnya', 'jgn', 'ada', 'yg', 'tersisa']","['brondong', 'abis', 'akarakarnya', 'jgn', 'yg', 'tersisa']","['brondong', 'abis', 'akarakarnya', 'jgn', 'yg', 'sisa']"
341,"Sudah jelas tindakan-tindakan mereka layaknya teroris, karena mengganggu  pembangunan dan kenyamanan masyarakat Papua yang notabene adalah saudara-saudara mereka sendiri","sudah jelas tindakan-tindakan mereka layaknya teroris, karena mengganggu  pembangunan dan kenyamanan masyarakat papua yang notabene adalah saudara-saudara mereka sendiri",sudah jelas tindakantindakan mereka layaknya teroris karena mengganggu  pembangunan dan kenyamanan masyarakat papua yang notabene adalah saudarasaudara mereka sendiri,sudah jelas tindakantindakan mereka layaknya teroris karena mengganggu pembangunan dan kenyamanan masyarakat papua yang notabene adalah saudarasaudara sendiri,"['sudah', 'jelas', 'tindakantindakan', 'mereka', 'layaknya', 'teroris', 'karena', 'mengganggu', 'pembangunan', 'dan', 'kenyamanan', 'masyarakat', 'papua', 'yang', 'notabene', 'adalah', 'saudarasaudara', 'sendiri']","['tindakantindakan', 'layaknya', 'teroris', 'mengganggu', 'pembangunan', 'kenyamanan', 'masyarakat', 'papua', 'notabene', 'saudarasaudara']","['tindakantindakan', 'layak', 'teroris', 'ganggu', 'bangun', 'nyaman', 'masyarakat', 'papua', 'notabene', 'saudarasaudara']"
342,apakah GAM juga teroris?,apakah gam juga teroris?,apakah gam juga teroris,apakah gam juga teroris,"['apakah', 'gam', 'juga', 'teroris']","['gam', 'teroris']","['gam', 'teroris']"
343,Wajib..menyebar..intelijen..di setiap desa di Papua..irian jaya..untuk menangkap mereka hidup..agar terbongkar..siapa yg mempersenjatai mereka..untuk melakukan teror..terhadap..negara...rakyat Papua..harus di libatkan..untuk membasmi KKB.teroris..ï¸ï¸ï¸,wajib..menyebar..intelijen..di setiap desa di papua..irian jaya..untuk menangkap mereka hidup..agar terbongkar..siapa yg mempersenjatai mereka..untuk melakukan teror..terhadap..negara...rakyat papua..harus di libatkan..untuk membasmi kkb.teroris..ï¸ï¸ï¸,wajibmenyebarintelijendi setiap desa di papuairian jayauntuk menangkap mereka hidupagar terbongkarsiapa yg mempersenjatai merekauntuk melakukan terorterhadapnegararakyat papuaharus di libatkanuntuk membasmi kkbteroris,wajibmenyebarintelijendi setiap desa di papuairian jayauntuk menangkap mereka hidupagar terbongkarsiapa yg mempersenjatai merekauntuk melakukan terorterhadapnegararakyat papuaharus libatkanuntuk membasmi kkbteroris,"['wajibmenyebarintelijendi', 'setiap', 'desa', 'di', 'papuairian', 'jayauntuk', 'menangkap', 'mereka', 'hidupagar', 'terbongkarsiapa', 'yg', 'mempersenjatai', 'merekauntuk', 'melakukan', 'terorterhadapnegararakyat', 'papuaharus', 'libatkanuntuk', 'membasmi', 'kkbteroris']","['wajibmenyebarintelijendi', 'desa', 'papuairian', 'jayauntuk', 'menangkap', 'hidupagar', 'terbongkarsiapa', 'yg', 'mempersenjatai', 'merekauntuk', 'terorterhadapnegararakyat', 'papuaharus', 'libatkanuntuk', 'membasmi', 'kkbteroris']","['wajibmenyebarintelijendi', 'desa', 'papuairian', 'jayauntuk', 'tangkap', 'hidupagar', 'terbongkarsiapa', 'yg', 'senjata', 'merekauntuk', 'terorterhadapnegararakyat', 'papuaharus', 'libatkanuntuk', 'basmi', 'kkbteroris']"
344,"Bunuh ,guru bunuh dokter, bunuh rakyat sipil, kau bilang bukan teroris,  strees saat di ajak perang balik kau berlindung di balik HAM","bunuh ,guru bunuh dokter, bunuh rakyat sipil, kau bilang bukan teroris,  strees saat di ajak perang balik kau berlindung di balik ham",bunuh guru bunuh dokter bunuh rakyat sipil kau bilang bukan teroris  strees saat di ajak perang balik kau berlindung di balik ham,bunuh guru dokter rakyat sipil kau bilang bukan teroris strees saat di ajak perang balik berlindung ham,"['bunuh', 'guru', 'dokter', 'rakyat', 'sipil', 'kau', 'bilang', 'bukan', 'teroris', 'strees', 'saat', 'di', 'ajak', 'perang', 'balik', 'berlindung', 'ham']","['bunuh', 'guru', 'dokter', 'rakyat', 'sipil', 'kau', 'bilang', 'teroris', 'strees', 'ajak', 'perang', 'berlindung', 'ham']","['bunuh', 'guru', 'dokter', 'rakyat', 'sipil', 'kau', 'bilang', 'teroris', 'strees', 'ajak', 'perang', 'lindung', 'ham']"
